Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
France,2015,ML345,Education,15.76 , 424 ,Nation-state,Unpatched Software,Antivirus,58
India,2021,ML345,Telecommunications,82.66 , 586 ,Hacker Group,Zero-day,VPN,23
UK,2016,DD678,Telecommunications,74.50 , 735 ,Hacker Group,Unpatched Software,Firewall,69
Brazil,2018,MIM65,Retail,76.39 , 984 ,Insider,Unpatched Software,Firewall,56
USA,2024,DD678,Retail,15.34 ," 1,068 ",Insider,Social Engineering,Firewall,3
India,2018,ML345,Education,86.38 ," 1,174 ",Insider,Weak Passwords,VPN,23
Germany,2023,MIM65,Banking,92.48 ," 1,326 ",Nation-state,Social Engineering,Antivirus,11
Germany,2015,SI657,Government,87.71 ," 1,579 ",Unknown,Unpatched Software,Antivirus,55
UK,2020,SI657,Healthcare,67.90 ," 2,233 ",Unknown,Social Engineering,Antivirus,45
Japan,2022,ML345,IT,1.92 ," 2,653 ",Nation-state,Unpatched Software,AI-based Detection,56
Germany,2017,SI657,Retail,88.18 ," 3,200 ",Insider,Weak Passwords,AI-based Detection,43
UK,2023,SI657,Healthcare,22.80 ," 3,315 ",Nation-state,Unpatched Software,Antivirus,41
France,2018,SI657,IT,63.56 ," 3,324 ",Unknown,Zero-day,Encryption,65
Japan,2023,PH01,Healthcare,48.25 ," 3,395 ",Nation-state,Weak Passwords,Antivirus,58
Brazil,2020,RWS34,IT,71.74 ," 3,432 ",Hacker Group,Unpatched Software,AI-based Detection,45
USA,2023,RWS34,Education,71.31 ," 3,607 ",Insider,Zero-day,AI-based Detection,7
Brazil,2018,PH01,Retail,42.46 ," 4,136 ",Nation-state,Zero-day,Encryption,23
China,2017,DD678,Retail,19.36 ," 4,814 ",Unknown,Social Engineering,AI-based Detection,42
China,2024,MIM65,Telecommunications,53.59 ," 4,913 ",Hacker Group,Weak Passwords,AI-based Detection,61
USA,2017,ML345,Government,89.49 ," 4,966 ",Hacker Group,Social Engineering,AI-based Detection,41
USA,2017,SI657,Government,60.66 ," 5,346 ",Unknown,Zero-day,Antivirus,69
France,2015,SI657,IT,87.78 ," 6,456 ",Hacker Group,Social Engineering,Firewall,69
Australia,2016,PH01,Education,98.72 ," 6,670 ",Nation-state,Social Engineering,VPN,24
UK,2023,ML345,Retail,28.79 ," 6,691 ",Hacker Group,Zero-day,VPN,57
Russia,2015,RWS34,IT,41.79 ," 7,290 ",Insider,Weak Passwords,AI-based Detection,32
India,2018,MIM65,Healthcare,94.60 ," 7,347 ",Insider,Zero-day,AI-based Detection,7
France,2021,ML345,Government,50.84 ," 7,910 ",Unknown,Unpatched Software,Firewall,19
USA,2024,PH01,Healthcare,17.64 ," 8,334 ",Unknown,Zero-day,Firewall,13
UK,2017,SI657,Banking,73.88 ," 8,385 ",Nation-state,Social Engineering,AI-based Detection,69
Australia,2022,SI657,Healthcare,60.71 ," 8,498 ",Nation-state,Weak Passwords,VPN,17
Australia,2024,DD678,Healthcare,77.04 ," 8,517 ",Hacker Group,Weak Passwords,Encryption,4
Germany,2021,DD678,Banking,91.24 ," 8,787 ",Hacker Group,Unpatched Software,Encryption,55
China,2020,SI657,Telecommunications,29.31 ," 8,884 ",Nation-state,Weak Passwords,Firewall,23
India,2020,RWS34,Government,12.64 ," 10,206 ",Hacker Group,Weak Passwords,Encryption,28
Germany,2016,DD678,Government,22.48 ," 10,438 ",Nation-state,Unpatched Software,Encryption,10
USA,2018,ML345,Education,77.07 ," 10,600 ",Insider,Social Engineering,Firewall,47
Japan,2020,DD678,Education,99.83 ," 10,859 ",Nation-state,Social Engineering,AI-based Detection,66
India,2018,RWS34,Government,43.11 ," 11,241 ",Hacker Group,Weak Passwords,VPN,4
China,2021,SI657,Government,13.76 ," 11,310 ",Hacker Group,Weak Passwords,Antivirus,71
Brazil,2016,MIM65,Retail,72.78 ," 11,339 ",Hacker Group,Social Engineering,AI-based Detection,34
Brazil,2017,DD678,Government,58.67 ," 12,372 ",Nation-state,Social Engineering,Encryption,29
Russia,2017,MIM65,IT,55.23 ," 12,439 ",Nation-state,Weak Passwords,Firewall,20
Russia,2020,MIM65,IT,14.68 ," 12,585 ",Unknown,Zero-day,Antivirus,30
China,2023,MIM65,Education,10.55 ," 12,970 ",Unknown,Social Engineering,Antivirus,32
Australia,2023,ML345,Government,55.72 ," 14,483 ",Nation-state,Weak Passwords,Firewall,36
India,2023,SI657,Government,60.53 ," 15,768 ",Unknown,Zero-day,VPN,66
UK,2016,MIM65,Telecommunications,73.63 ," 15,907 ",Hacker Group,Social Engineering,Antivirus,36
Germany,2018,MIM65,Banking,89.87 ," 15,909 ",Nation-state,Zero-day,Antivirus,19
China,2021,RWS34,Telecommunications,44.84 ," 16,106 ",Nation-state,Weak Passwords,Firewall,29
Australia,2023,PH01,Education,81.81 ," 16,360 ",Nation-state,Unpatched Software,AI-based Detection,37
France,2017,PH01,Banking,17.88 ," 16,585 ",Hacker Group,Unpatched Software,Encryption,12
Brazil,2015,SI657,IT,47.20 ," 16,957 ",Unknown,Zero-day,Firewall,49
UK,2015,PH01,IT,85.58 ," 17,229 ",Hacker Group,Weak Passwords,AI-based Detection,30
USA,2017,DD678,Government,98.73 ," 17,805 ",Nation-state,Weak Passwords,Antivirus,31
Australia,2022,RWS34,Healthcare,17.58 ," 18,399 ",Unknown,Zero-day,Firewall,14
UK,2023,PH01,Retail,33.06 ," 18,579 ",Unknown,Social Engineering,VPN,13
Australia,2024,DD678,Banking,21.11 ," 18,766 ",Insider,Weak Passwords,Firewall,43
UK,2019,DD678,Banking,80.68 ," 19,007 ",Nation-state,Unpatched Software,VPN,29
UK,2022,RWS34,Retail,10.44 ," 19,404 ",Nation-state,Unpatched Software,Firewall,32
China,2019,SI657,Retail,26.97 ," 19,575 ",Insider,Zero-day,AI-based Detection,1
USA,2022,PH01,Retail,47.66 ," 20,064 ",Insider,Social Engineering,Encryption,61
Russia,2015,ML345,Telecommunications,69.34 ," 20,269 ",Unknown,Social Engineering,VPN,36
China,2022,DD678,Education,18.49 ," 20,680 ",Nation-state,Social Engineering,Firewall,29
India,2024,DD678,Banking,47.10 ," 21,292 ",Insider,Social Engineering,Antivirus,10
Germany,2016,ML345,Healthcare,94.12 ," 21,382 ",Unknown,Weak Passwords,Encryption,21
UK,2015,RWS34,IT,26.12 ," 21,580 ",Unknown,Weak Passwords,AI-based Detection,14
France,2023,RWS34,Education,54.26 ," 21,699 ",Insider,Weak Passwords,AI-based Detection,32
Russia,2024,RWS34,Banking,52.80 ," 21,810 ",Insider,Zero-day,VPN,48
France,2021,ML345,Education,55.66 ," 21,833 ",Hacker Group,Zero-day,Encryption,2
Germany,2018,MIM65,Retail,43.28 ," 22,241 ",Hacker Group,Zero-day,Firewall,5
USA,2017,MIM65,IT,5.21 ," 22,635 ",Unknown,Unpatched Software,AI-based Detection,8
Australia,2019,DD678,Education,54.63 ," 22,739 ",Insider,Unpatched Software,Firewall,44
Russia,2015,DD678,Government,97.40 ," 23,096 ",Unknown,Weak Passwords,Firewall,38
Australia,2016,ML345,Telecommunications,44.93 ," 23,249 ",Insider,Social Engineering,Firewall,1
Japan,2015,MIM65,Telecommunications,95.80 ," 23,469 ",Insider,Zero-day,Firewall,64
India,2023,DD678,Education,82.11 ," 23,683 ",Hacker Group,Weak Passwords,Encryption,69
India,2023,MIM65,IT,58.90 ," 24,387 ",Hacker Group,Unpatched Software,Encryption,29
India,2018,PH01,Government,41.10 ," 25,094 ",Nation-state,Unpatched Software,VPN,42
Australia,2022,ML345,Healthcare,47.92 ," 25,905 ",Nation-state,Unpatched Software,VPN,40
USA,2019,PH01,IT,20.13 ," 25,946 ",Hacker Group,Weak Passwords,AI-based Detection,68
